epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0318,1.11675,2.08062,1.39987,0.70774,0.65036,0.68641,0.40368,1.18807,2.0699,1.67268,0.000653333,0.000653333,0.000653333
2,22.4028,1.00309,1.3145,1.31129,0.34649,0.50671,0.32336,0.16192,1.57121,2.28677,2.00904,0.00130693,0.00130693,0.00130693
3,30.9708,1.0433,1.22108,1.32707,0.48493,0.51144,0.4306,0.21567,1.67592,1.9102,2.56948,0.00194733,0.00194733,0.00194733
4,40.3903,1.02475,1.13389,1.30274,0.74461,0.76717,0.77861,0.49826,1.15587,1.21285,1.62807,0.0019406,0.0019406,0.0019406
5,48.3862,1.00101,1.04091,1.29611,0.76337,0.85549,0.81881,0.54246,1.07171,1.14513,1.57759,0.0019208,0.0019208,0.0019208
6,56.8873,0.95962,0.94452,1.25529,0.60348,0.54617,0.53368,0.2833,1.78272,1.67075,2.42674,0.001901,0.001901,0.001901
7,65.315,0.96129,0.94364,1.27149,0.65596,0.72849,0.67288,0.44132,1.11349,1.30655,1.5992,0.0018812,0.0018812,0.0018812
8,74.1362,0.95465,0.89941,1.25888,0.70107,0.78374,0.77182,0.51384,1.0849,1.2331,1.56088,0.0018614,0.0018614,0.0018614
9,82.4354,0.89203,0.81674,1.22332,0.84117,0.91126,0.88082,0.65694,0.87527,0.75273,1.32792,0.0018416,0.0018416,0.0018416
10,91.2213,0.8969,0.79778,1.22712,0.64474,0.73165,0.72207,0.44052,1.32287,1.21313,1.8017,0.0018218,0.0018218,0.0018218
11,99.0996,0.88686,0.7869,1.20924,0.8404,0.90134,0.88422,0.66256,0.88943,0.71741,1.32833,0.001802,0.001802,0.001802
12,106.942,0.87387,0.77438,1.21069,0.8123,0.90766,0.87607,0.65852,0.82623,0.7408,1.28861,0.0017822,0.0017822,0.0017822
13,115.701,0.85659,0.74328,1.20411,0.83214,0.88713,0.89273,0.65642,0.84917,0.79936,1.29172,0.0017624,0.0017624,0.0017624
14,124.12,0.85131,0.72375,1.18955,0.80995,0.90529,0.87735,0.62614,0.95952,0.75814,1.4022,0.0017426,0.0017426,0.0017426
15,131.818,0.8192,0.73311,1.17242,0.84153,0.92423,0.90384,0.67991,0.79853,0.75547,1.23761,0.0017228,0.0017228,0.0017228
16,140.242,0.8414,0.71803,1.19111,0.869,0.90845,0.91955,0.69634,0.81872,0.61715,1.25764,0.001703,0.001703,0.001703
17,148.036,0.83025,0.71118,1.17054,0.83006,0.85951,0.8593,0.62206,0.97173,0.76929,1.41904,0.0016832,0.0016832,0.0016832
18,156.194,0.79639,0.68667,1.15759,0.87367,0.90606,0.90977,0.6618,0.98416,0.703,1.42676,0.0016634,0.0016634,0.0016634
19,165.209,0.80388,0.65197,1.16323,0.77045,0.87056,0.84643,0.59336,0.97339,0.83393,1.40993,0.0016436,0.0016436,0.0016436
20,173.314,0.80737,0.66061,1.15913,0.73529,0.79321,0.79899,0.49643,1.22612,0.91476,1.77607,0.0016238,0.0016238,0.0016238
21,181.019,0.78743,0.65398,1.15012,0.81137,0.88268,0.88694,0.64858,0.87409,0.84084,1.32613,0.001604,0.001604,0.001604
22,189.099,0.79272,0.65283,1.14646,0.73956,0.74409,0.76234,0.47861,1.27068,1.02772,1.75336,0.0015842,0.0015842,0.0015842
23,197.281,0.77733,0.63742,1.14024,0.85976,0.9387,0.93398,0.70085,0.83042,0.58425,1.28447,0.0015644,0.0015644,0.0015644
24,205.946,0.78584,0.63679,1.15817,0.85969,0.9382,0.92307,0.70474,0.82338,0.58891,1.25088,0.0015446,0.0015446,0.0015446
25,215.902,0.75244,0.60431,1.13569,0.84486,0.8983,0.91533,0.6916,0.84807,0.65205,1.27904,0.0015248,0.0015248,0.0015248
26,223.751,0.78143,0.62363,1.14639,0.80026,0.79056,0.8173,0.51154,1.2657,0.85506,1.83855,0.001505,0.001505,0.001505
27,231.715,0.74233,0.5859,1.12157,0.89966,0.96244,0.95977,0.77379,0.70617,0.49202,1.15681,0.0014852,0.0014852,0.0014852
28,239.832,0.75588,0.59844,1.12417,0.82816,0.85585,0.8813,0.59726,0.9672,0.71132,1.4247,0.0014654,0.0014654,0.0014654
29,247.334,0.75383,0.60409,1.14459,0.89511,0.95642,0.95462,0.77936,0.66398,0.51128,1.12079,0.0014456,0.0014456,0.0014456
30,256.253,0.70541,0.57484,1.10478,0.86866,0.93291,0.93543,0.74126,0.69714,0.52642,1.14178,0.0014258,0.0014258,0.0014258
31,264.957,0.74727,0.57955,1.13618,0.81584,0.84616,0.86929,0.60494,1.05572,0.71944,1.55922,0.001406,0.001406,0.001406
32,273.278,0.75653,0.59141,1.12658,0.90541,0.9629,0.95629,0.77171,0.71105,0.4833,1.13324,0.0013862,0.0013862,0.0013862
33,281.984,0.75673,0.58395,1.12739,0.90735,0.95107,0.96283,0.80198,0.6266,0.46019,1.09067,0.0013664,0.0013664,0.0013664
34,289.718,0.73385,0.5711,1.12445,0.79076,0.85714,0.86727,0.59555,1.008,0.75427,1.51506,0.0013466,0.0013466,0.0013466
35,297.523,0.72783,0.59404,1.11319,0.90275,0.95501,0.95831,0.78113,0.66492,0.50746,1.10016,0.0013268,0.0013268,0.0013268
36,306.506,0.71833,0.54425,1.10182,0.90574,0.96764,0.95937,0.78487,0.69732,0.48563,1.16917,0.001307,0.001307,0.001307
37,314.716,0.6967,0.54999,1.08759,0.78625,0.84451,0.86945,0.59774,1.0787,0.73856,1.50919,0.0012872,0.0012872,0.0012872
38,322.361,0.73194,0.55753,1.10975,0.91036,0.96181,0.96494,0.79548,0.66478,0.46603,1.09905,0.0012674,0.0012674,0.0012674
39,330.941,0.69806,0.52829,1.08608,0.88138,0.94791,0.94807,0.72667,0.81615,0.54226,1.25685,0.0012476,0.0012476,0.0012476
40,339.166,0.71808,0.53723,1.10777,0.90365,0.97714,0.95685,0.79729,0.65367,0.46343,1.11424,0.0012278,0.0012278,0.0012278
41,346.999,0.71502,0.52682,1.09627,0.89423,0.95417,0.96223,0.76252,0.77753,0.48711,1.18415,0.001208,0.001208,0.001208
42,354.821,0.67244,0.51463,1.08264,0.88185,0.92491,0.95269,0.75643,0.73389,0.51425,1.19095,0.0011882,0.0011882,0.0011882
43,362.815,0.71851,0.54873,1.10336,0.87852,0.89503,0.93563,0.69809,0.88685,0.57867,1.37472,0.0011684,0.0011684,0.0011684
44,370.847,0.66917,0.51114,1.07572,0.86521,0.91871,0.93438,0.73554,0.81547,0.5529,1.25712,0.0011486,0.0011486,0.0011486
45,378.571,0.68897,0.50745,1.0824,0.9315,0.97001,0.9736,0.83858,0.58239,0.39845,1.04883,0.0011288,0.0011288,0.0011288
46,386.586,0.6781,0.51627,1.08761,0.88316,0.88398,0.93524,0.73954,0.78583,0.64135,1.21226,0.001109,0.001109,0.001109
47,394.701,0.65566,0.48841,1.06947,0.90304,0.95557,0.95508,0.80009,0.63837,0.46937,1.09965,0.0010892,0.0010892,0.0010892
48,402.854,0.68082,0.51435,1.08065,0.90734,0.96764,0.97025,0.83155,0.59126,0.41206,1.05345,0.0010694,0.0010694,0.0010694
49,410.882,0.67536,0.50758,1.08803,0.86458,0.92107,0.94152,0.74609,0.76003,0.53133,1.24474,0.0010496,0.0010496,0.0010496
50,419.603,0.66893,0.4935,1.08,0.91411,0.96594,0.9719,0.80927,0.64516,0.42233,1.11569,0.0010298,0.0010298,0.0010298
51,427.706,0.6754,0.48575,1.07379,0.92455,0.98264,0.97042,0.82358,0.60481,0.40712,1.07146,0.00101,0.00101,0.00101
52,435.501,0.66688,0.49341,1.07394,0.91893,0.97001,0.96766,0.81027,0.63782,0.41262,1.10808,0.0009902,0.0009902,0.0009902
53,444.502,0.65852,0.48479,1.07377,0.92274,0.9615,0.97314,0.83636,0.57958,0.42202,1.03328,0.0009704,0.0009704,0.0009704
54,452.074,0.65507,0.49071,1.06242,0.91078,0.97159,0.97257,0.81155,0.63651,0.42754,1.08471,0.0009506,0.0009506,0.0009506
55,459.985,0.66575,0.48204,1.0661,0.90493,0.92739,0.96233,0.8161,0.58289,0.46088,1.05053,0.0009308,0.0009308,0.0009308
56,467.875,0.66192,0.49317,1.07846,0.92845,0.97293,0.97377,0.83282,0.60504,0.39248,1.0625,0.000911,0.000911,0.000911
57,475.352,0.64515,0.48592,1.06978,0.92112,0.97692,0.97922,0.84167,0.59006,0.39699,1.0464,0.0008912,0.0008912,0.0008912
58,483.658,0.63853,0.45258,1.05924,0.92308,0.96612,0.97572,0.83524,0.61268,0.39774,1.07119,0.0008714,0.0008714,0.0008714
59,491.409,0.6432,0.4749,1.06763,0.92539,0.96921,0.97684,0.83047,0.5985,0.39386,1.06024,0.0008516,0.0008516,0.0008516
60,499.774,0.61808,0.46594,1.05968,0.90962,0.96843,0.97426,0.83067,0.61427,0.41274,1.05439,0.0008318,0.0008318,0.0008318
61,508.03,0.63356,0.4798,1.05058,0.94497,0.97578,0.97435,0.84863,0.55231,0.35757,1.01877,0.000812,0.000812,0.000812
62,515.958,0.64699,0.47175,1.06639,0.90225,0.95437,0.96936,0.82475,0.5955,0.45167,1.06998,0.0007922,0.0007922,0.0007922
63,523.685,0.6239,0.46396,1.04946,0.93522,0.98185,0.97696,0.85861,0.54753,0.35944,1.01524,0.0007724,0.0007724,0.0007724
64,532.332,0.61884,0.45173,1.04263,0.94529,0.96831,0.98115,0.86676,0.52897,0.34606,0.99819,0.0007526,0.0007526,0.0007526
65,540.419,0.60832,0.45411,1.05274,0.94263,0.97257,0.98227,0.85745,0.54843,0.35185,1.01722,0.0007328,0.0007328,0.0007328
66,549,0.59812,0.43538,1.03995,0.93363,0.97474,0.98053,0.85372,0.55845,0.35171,1.02117,0.000713,0.000713,0.000713
67,556.718,0.60373,0.44711,1.03442,0.93851,0.96448,0.97704,0.85181,0.56802,0.36355,1.02271,0.0006932,0.0006932,0.0006932
68,564.589,0.61523,0.43786,1.04851,0.93734,0.95633,0.97916,0.86185,0.50822,0.34894,0.98433,0.0006734,0.0006734,0.0006734
69,572.411,0.59949,0.4433,1.03966,0.92272,0.97711,0.97789,0.85421,0.546,0.35319,1.0246,0.0006536,0.0006536,0.0006536
70,580.696,0.59897,0.44979,1.03327,0.93376,0.96922,0.97765,0.85114,0.54729,0.37039,1.00941,0.0006338,0.0006338,0.0006338
71,588.366,0.61033,0.44075,1.05009,0.94299,0.97948,0.98218,0.86311,0.53142,0.34314,0.99595,0.000614,0.000614,0.000614
72,596.633,0.60716,0.43644,1.04667,0.93417,0.97238,0.97993,0.85173,0.5567,0.36171,1.03487,0.0005942,0.0005942,0.0005942
73,604.761,0.61182,0.4435,1.04481,0.94625,0.97948,0.98032,0.86908,0.52745,0.33268,1.01423,0.0005744,0.0005744,0.0005744
74,612.8,0.58815,0.43116,1.03507,0.94732,0.96764,0.9827,0.85411,0.54809,0.35921,1.01196,0.0005546,0.0005546,0.0005546
75,621.424,0.58885,0.42448,1.0309,0.94759,0.98658,0.98487,0.87184,0.50894,0.32881,0.98018,0.0005348,0.0005348,0.0005348
76,628.987,0.59531,0.43422,1.04255,0.94756,0.98737,0.98671,0.87677,0.50701,0.32498,0.98379,0.000515,0.000515,0.000515
77,637.086,0.58994,0.42193,1.02275,0.94386,0.982,0.98574,0.88275,0.49161,0.31666,0.96608,0.0004952,0.0004952,0.0004952
78,645.625,0.59275,0.41653,1.03075,0.94598,0.98129,0.98559,0.88089,0.49937,0.32251,0.98335,0.0004754,0.0004754,0.0004754
79,654.631,0.59699,0.42155,1.03447,0.94488,0.99053,0.98681,0.88266,0.491,0.30801,0.97433,0.0004556,0.0004556,0.0004556
80,662.11,0.57463,0.40238,1.02049,0.92473,0.97159,0.97875,0.86541,0.52026,0.34891,1.00943,0.0004358,0.0004358,0.0004358
81,670.509,0.57042,0.40323,1.02419,0.9614,0.98301,0.98615,0.89063,0.48056,0.29415,0.96203,0.000416,0.000416,0.000416
82,678.47,0.59212,0.42008,1.03134,0.95965,0.97869,0.98668,0.88914,0.48944,0.29841,0.96995,0.0003962,0.0003962,0.0003962
83,687.145,0.57036,0.42001,1.00871,0.94257,0.97711,0.98579,0.88583,0.48161,0.32161,0.96141,0.0003764,0.0003764,0.0003764
84,695.28,0.55244,0.39906,1.00367,0.94698,0.97265,0.98477,0.88113,0.49961,0.31802,0.99698,0.0003566,0.0003566,0.0003566
85,704.137,0.56932,0.39273,1.03021,0.96516,0.9708,0.98692,0.89376,0.46784,0.29031,0.95357,0.0003368,0.0003368,0.0003368
86,712.046,0.543,0.39336,1.00692,0.95211,0.98579,0.9874,0.89511,0.45335,0.29443,0.93933,0.000317,0.000317,0.000317
87,720.277,0.54781,0.39692,1.01265,0.95538,0.98737,0.98655,0.88963,0.46943,0.29156,0.95196,0.0002972,0.0002972,0.0002972
88,730.311,0.57891,0.39873,1.02462,0.96222,0.98505,0.98834,0.89509,0.45702,0.28405,0.93665,0.0002774,0.0002774,0.0002774
89,738.379,0.53981,0.38128,1.00401,0.95481,0.98388,0.98818,0.89638,0.45761,0.29109,0.93984,0.0002576,0.0002576,0.0002576
90,746.783,0.56147,0.39569,1.01524,0.95934,0.9779,0.98696,0.8922,0.46975,0.28804,0.95414,0.0002378,0.0002378,0.0002378
91,756.83,0.49237,0.37862,1.00215,0.96559,0.97444,0.98749,0.88696,0.47186,0.29743,0.95774,0.000218,0.000218,0.000218
92,765.148,0.47038,0.33691,0.97358,0.95872,0.98986,0.98826,0.89105,0.46282,0.28304,0.94385,0.0001982,0.0001982,0.0001982
93,773.384,0.46741,0.31199,0.98609,0.96806,0.97711,0.98886,0.89489,0.46477,0.27949,0.945,0.0001784,0.0001784,0.0001784
94,782.866,0.46823,0.31345,0.97412,0.96601,0.98027,0.98928,0.89698,0.45788,0.27553,0.93741,0.0001586,0.0001586,0.0001586
95,792.612,0.45792,0.30523,0.96632,0.9676,0.98985,0.98966,0.8992,0.44848,0.26442,0.92919,0.0001388,0.0001388,0.0001388
96,800.653,0.45774,0.31433,0.96911,0.97118,0.98343,0.9891,0.89673,0.44446,0.26555,0.93055,0.000119,0.000119,0.000119
97,809.992,0.45508,0.30795,0.96615,0.96156,0.98721,0.98878,0.89836,0.44363,0.27328,0.92899,9.92e-05,9.92e-05,9.92e-05
98,818.597,0.45326,0.30305,0.96196,0.96882,0.98737,0.98896,0.89983,0.44266,0.26474,0.9251,7.94e-05,7.94e-05,7.94e-05
99,826.815,0.44194,0.29265,0.94974,0.96901,0.98816,0.9895,0.90153,0.43722,0.26072,0.92188,5.96e-05,5.96e-05,5.96e-05
100,834.682,0.43931,0.29285,0.9675,0.97148,0.98421,0.9895,0.90411,0.43483,0.26057,0.91936,3.98e-05,3.98e-05,3.98e-05
